experiment,dataset,n,dims,classes,algo,ARI_mean,ARI_std,NMI_mean,NMI_std,selection,cfg,n_cfg,sec
main_benchmark,Wine (UCI),178,13,3,DRASC (proposed),0.9309,0.0,0.9088,0.0,oracle,"{'k': 30, 'gamma': 1.0}",15,0.17
unsup_silhouette,Wine (UCI),178,13,3,DRASC (proposed),0.9149,0.0,0.8926,0.0,silhouette,"{'k': 30, 'gamma': 3.0}",15,0.33
drasc_selection,Wine (UCI),178,13,3,DRASC (proposed),0.8837,0.0,0.865,0.0,eigengap,"{'k': 15, 'gamma': 3.0}",15,0.0
drasc_selection,Wine (UCI),178,13,3,DRASC (proposed),0.9149,0.0,0.8926,0.0,silhouette,"{'k': 30, 'gamma': 3.0}",15,0.0
drasc_selection,Wine (UCI),178,13,3,DRASC (proposed),0.9309,0.0,0.9088,0.0,oracle,"{'k': 30, 'gamma': 1.0}",15,0.0
drasc_selection,Wine (UCI),178,13,3,DRASC (proposed),0.9309,0.0,0.9088,0.0,stability,"{'k': 30, 'gamma': 1.0}",15,0.0
main_benchmark,Wine (UCI),178,13,3,"Ablation-B (adaptive only, g=0)",0.9309,0.0,0.9088,0.0,oracle,"{'k': 30, 'gamma': 0.0}",5,0.16
unsup_silhouette,Wine (UCI),178,13,3,"Ablation-B (adaptive only, g=0)",0.9149,0.0,0.8926,0.0,silhouette,"{'k': 50, 'gamma': 0.0}",5,0.33
main_benchmark,Wine (UCI),178,13,3,k-means++,0.8975,0.0,0.8759,0.0,oracle,{'n_init': 50},1,0.16
unsup_silhouette,Wine (UCI),178,13,3,k-means++,0.8975,0.0,0.8759,0.0,silhouette,{'n_init': 50},1,0.29
main_benchmark,Wine (UCI),178,13,3,GMM (EM),0.915,0.0,0.8925,0.0,oracle,{'cov': 'diag'},4,0.32
unsup_silhouette,Wine (UCI),178,13,3,GMM (EM),0.8734,0.0141,0.858,0.0059,silhouette,{'cov': 'full'},4,0.77
main_benchmark,Wine (UCI),178,13,3,Agglomerative,0.7899,0.0,0.7865,0.0,oracle,{'linkage': 'ward'},4,0.02
