dataset,"Ablation-B (adaptive only, g=0)",Agglomerative,BIRCH,DBSCAN,DPC (Sci.2014),DRASC (proposed),FINCH (2019),GMM (EM),HDBSCAN,LSC (anchor spectral),Spectral (RBF),Spectral (kNN),k-means++
Banknote Authentication (UCI),0.0318,0.072,0.1098,0.1725,0.9088,0.1482,0.3918,0.015,0.0078,0.1285,0.1244,0.0193,0.0131
Breast Cancer Wisconsin (UCI),0.7126,0.0048,0.575,0.0285,0.3739,0.7368,0.583,0.7004,0.1186,0.7211,0.0048,0.7669,0.6707
Digits 8x8 (UCI handwritten),0.6435,0.0,0.6643,0.0006,0.5393,0.6402,0.6621,0.4848,0.0034,0.6405,0.0,0.6377,0.4678
"Fashion-MNIST (10k, PCA-50)",0.4487,0.0,0.1893,0.0022,,0.4409,0.4302,0.2892,0.0113,0.4174,,0.3226,0.3421
Image Segmentation (UCI),0.3721,0.0,0.1063,0.2235,0.5406,0.3708,0.44,0.5105,0.2214,0.4506,0.0001,0.3598,0.461
"MNIST (10k, PCA-50)",0.4422,0.0,0.0014,0.0007,,0.3948,0.374,0.0572,0.0127,0.3782,,0.3677,0.18
"Olivetti Faces (AT&T, PCA-50)",0.6064,0.4993,0.4993,0.0001,0.545,0.6068,0.6938,0.4932,0.042,0.5986,0.4023,0.4322,0.4884
Pen Digits (UCI),0.6245,0.5797,0.5123,0.5476,0.5944,0.6269,0.6197,0.5785,0.4998,0.6216,0.4304,0.6176,0.5612
Satimage / Landsat (UCI),0.4949,0.2575,0.5273,0.0842,0.4372,0.4989,0.3134,0.499,0.0891,0.5134,0.3234,0.4643,0.5213
Seeds (UCI),0.798,0.797,0.6413,0.4048,0.7402,0.7863,0.7013,0.7825,0.2898,0.7542,0.8109,0.7846,0.7733
USPS (PCA-50),0.6161,0.0,0.3787,0.0032,,0.6193,0.5785,0.4083,0.0816,0.5181,,0.5959,0.4425
Vehicle Silhouettes (UCI),0.1086,0.0006,0.0862,0.0005,0.0943,0.1079,0.0946,0.0767,0.0006,0.1114,0.0006,0.1173,0.0761
Wine (UCI),0.9149,0.7899,0.7899,-0.0082,0.699,0.9149,0.6864,0.8734,0.266,0.9077,0.9295,0.9149,0.8975
